Abstract_ID,Cluster_Ward,Cluster_AGNES
ZOU2025103539,2,1
CARVALHO2016169,1,1
AALTO2019145,2,1
JOHANN2016420,2,1
HELVACIOZACAR2023100560,5,1
GREENE201766,1,1
CORTESE2024108397,2,1
CAHILL20172131,2,1
THANATIPANONDA202138,5,1
BOOKER2004331,2,1
WINITZKY19921,5,1
NUNEZV2024101173,2,1
AHMED20191,2,1
AGARWAL1992251,2,1
BRIAN2023129074,5,1
GOMEZCARRILLO2023296,1,1
HADIMOGAVI2024100027,5,1
SHARIATI201640,5,1
YAGHINI2022124525,2,1
ABRAHAM200738,1,1
VALLESPERIS2024102448,2,1
FU2013729,2,1
THACKER2023101782,2,1
NOORIGOODARZI2022105372,2,1
GOODSELL2020472,2,1
PLEBE20164,1,1
WILKINS20258,3,1
JONES20171,1,1
4281993,2,1
DENG2023104944,1,1
OBRIEN2002313,1,1
LI2025115048,2,1
JONES2013122,1,1
DELATORRE2014653,2,1
GIROTTO1991111,1,1
LI2023119775,1,1
CAGLAYAN2015131,2,1
BRAUND2013175,5,1
MASSA2023105441,1,1
BROZA2023101285,2,1
LU2017138,2,1
LIN2020101011,2,1
YANG20111230,5,1
ISMAILOVA2018183,1,1
ANDERSON1998214,1,1
RAHMAN20125541,5,1
SZYMANSKI2021,1,1
CHEN2024102593,1,1
MARUYAMA20181037,5,1
BEYTIA2022101732,1,1
TREUR2013449,1,1
KERT2020100714,5,1
ZHANG2024603,2,1
ZALL2024101285,1,1
LUO2023101957,2,1
WANG2023107152,2,1
FINGER2025101535,1,1
BAYNE201332,2,1
ANGGORO2025500158,1,1
GUHA2023100014,1,1
KE2024111909,2,1
BIANCIARDI201787,2,1
HAFRI2021475,1,1
BYLANDER1994165,1,1
MASSO2025100112,2,1
JONES2015e38,1,1
PRINA2024132735,2,1
MADHJA2020107068,2,1
DEY2016177,2,1
MANCINI2022102697,5,1
LONG201743,2,1
GEHRTZ2024101187,5,1
JACKSON20091397,1,1
BEESON1988297,1,1
YAO2022113,2,1
DUAL2024596,2,1
SUWA1997385,2,1
HELIKAR2021100,2,1
DIAS2022140,2,1
RANGANATHAN201958,1,1
MASHALEH20242245,2,1
JAUK2012219,1,1
UCAR2017249,2,1
GONZALEZ2024446,2,1
LEE201426,5,1
AZARYAHU2023101196,5,1
GUO2021100952,1,1
AI2022631,2,1
KUO2013510,1,1
MONTEYNE2025105181,5,1
JAGER2014117,2,1
BASARAN2012862,5,1
GERPOTT2024101783,1,1
VEKONY2025111703,1,1
KUMAR20224712,2,1
GIANNANTONI201462,2,1
SCHWARZ2014283,1,1
MIRHOSEINI2023103761,1,1
RABOY201736,2,1
CRISTIANINI201639,1,1
ISMAILOVA2021341,2,1
ZOU2024134011,2,1
HERNIMAN2021373,1,1
VALLET2020102513,2,1
TAN2025127211,2,1
INAL2024101338,1,1
WEI2022232125,2,1
OSCARIDO2023539,5,1
WEBB2008360,5,1
MOINGEON2022215,2,1
LUPION2025112832,2,1
GONDOCS2024102769,3,1
CORBIN2023100645,1,1
SHKLOVSKIYKORDI2022104653,2,1
SAYLIK2022136915,1,1
BOWMAN201834,1,1
ARASTOOPOURIRGENS2022100541,5,1
CARLOZZI2022263,1,1
DEBRUIJN2022101666,2,1
DENHAM2022105526,2,1
NYBLOM201430,2,1
WU2025104172,2,1
BARGMANN20242999,2,1
MCDONALD202239,5,1
MATT2013420,2,1
WU2024101625,1,1
REN2025109484,2,1
SUCHOW2017522,2,1
HONDA201718,2,1
TSAI202371,5,1
7904960,5,1
CESAR2017116,5,1
TAKAHASHI201295,2,1
JABEEN2023108475,2,1
LI2025112800,2,1
CASAJUS202488,5,1
KESICI2011472,1,1
PAN20241357,5,1
DEMARTINO20131222,2,1
PRIORELLI2024e39129,1,1
10500041,5,1
INTRONE201479,1,1
SELIG2025105923,1,1
ELLIOT2022112418,2,1
SHENHAV2022,1,1
CAMERON2019102,5,1
KIRCHER2018515,1,1
ZHANG2017427,2,1
YAO2018107,2,1
FU2015159,2,1
ZHANG2023103277,2,1
MARINHO2021e06079,1,1
DESOUZA2024100042,1,1
TANG2019101065,2,1
SUMI199771,1,1
10125117,5,1
XING2024103704,1,1
LEE2012579,5,1
SALTELLI2025106430,1,1
9272097,5,1
CASTANEDA2023102391,2,1
MA2024100647,5,1
KORMAN201530,1,1
HARTLEY1997169,1,1
BAIDYA2024100680,2,1
HASSANNEZHAD2022116338,2,1
VEKSLER20169,1,1
ZHOU2023110513,2,1
BOKKON201367,1,1
