journal,1980,1982,1984,1986,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Cognition,0,0,1,1,1,0,1,0,2,0,1,0,0,0,1,1,1,0,0,1,2,2,3,0,2,1,4,1,2,3,2,4,0,2,5,5,3,12,6,5
Cognitive Systems Research,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,4,2,2,6,1,3,1,6,1,3,4,1,4,6,9,14,2
Computers & Education,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,4,5,5,4,5,3,3,2,3,7,8,9,13,7,13,12
Computers in Human Behavior,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,3,5,3,4,7,7,8,6,1,4,7,1
Design Studies,0,1,0,0,0,0,0,1,3,1,2,1,0,2,2,2,1,0,1,0,5,0,1,1,1,1,1,2,1,8,2,7,3,1,1,2,0,5,0,3
Expert Systems with Applications,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,3,2,0,2,0,0,0,2,1,1,6,6,16,9
Heliyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,13,26,5
IFAC-PapersOnLine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,8,4,5,3,3,3,10,0
Information Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3,1,1,2,0,2,0,1,2,1,3,1,1,5,2,4,8,9,6
International Journal of Child-Computer Interaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,8,2,8,13,15,14,9
Procedia - Social and Behavioral Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,12,3,7,12,3,0,0,0,0,0,0,0,0,0
Procedia Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,5,4,12,16,14,11,9,7,9,11,17,16,26,7
The Journal of Mathematical Behavior,0,0,0,0,0,0,0,0,0,1,2,2,1,2,6,2,5,3,3,1,1,2,2,0,3,2,3,2,2,2,3,5,2,7,4,9,7,6,10,1
Thinking Skills and Creativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,1,2,1,1,3,3,18,14,30,30,16
Trends in Cognitive Sciences,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,1,2,3,1,0,4,0,0,0,0,1,2,3,1,3,6,5,4,8,6,9,8,15,5
